node_u,node_v,length
42578109,42580331,91.83542895222858
42569918,42569416,18.51266703316787
42569918,42569958,30.280570992095434
3270224063,42599591,32.31715484131164
3270224063,42602255,142.13673974118203
42594505,42594775,32.50071462956113
42594507,42594004,64.58453924804357
42594507,42592692,82.33024213732932
42594507,42594566,15.478939204367466
42604759,42604438,61.9914901633247
42604759,42603396,59.81453131627819
42604759,42605158,76.99072795490811
42604759,42605383,29.35490607235617
42569958,59996515,7.345805327516805
42569958,42570055,67.20615479351468
42572006,42571733,9.330878249525076
42572006,3860894709,6.554086246893712
42594537,42594077,61.10825217806831
42594537,42595031,65.65112169122276
42580208,42581703,85.60108161414942
42580208,1266468189,7.234181498957073
42588403,42587499,67.07531189972946
42588403,42587552,48.86330656068111
42588403,42588979,35.90073960310315
42588405,42586868,58.31199203282285
42588405,42587992,43.06522964655569
42598652,42597650,69.93404727484366
42598652,42600134,95.80874806006776
42590465,42590599,17.34379736317058
42590465,42589778,22.874425663112
42590465,42590968,19.71587349869295
42582276,42580565,75.82110050834126
42594565,42595473,75.58539301472942
42594565,42593913,54.58733276305398
42594565,42595755,57.05071309524615
42594566,42592778,82.15825231749689
42594566,42595100,68.96495848161447
42588426,3860904521,87.18868470143029
42588426,42587233,73.2159577864817
42588426,42589229,27.009145637839463
5229033741,929009952,75.50296669952326
5229033748,10869250779,13.531968846829088
5229033748,10869250778,16.182380248134137
42570007,42570204,59.63116556383183
929009952,42578889,61.55754390840073
42570024,42570294,101.80171270505063
42608945,42607704,74.06668757149227
42608945,42609349,69.94220566723793
42598714,42598925,16.038355726614906
42598714,8573053446,10.13191894534938
42570055,42571645,72.1842179335819
42570055,42570489,65.9274830659114
42568013,29654546,55.49180741153639
42568013,2806088917,18.772493315957465
42568013,2666215168,76.31127446703121
42592603,42592991,48.514062380033394
42592603,42593798,65.41600515955113
59996515,42573150,127.71416770975732
42580331,42580565,65.79354261200366
42592622,42591939,70.56657904688565
42592622,42593366,78.98966588426987
42592622,42593667,49.47597018464984
1266405747,42588670,69.01684234490358
42598778,42599161,37.71915465345472
1266469249,42579019,21.357204405452
1266469249,42580977,65.2446740749414
1266469249,1266468189,49.64812170304992
42602886,42602118,117.12944782724855
42602886,42603859,87.09961257945446
42590599,42591087,18.7614560419929
42563995,12181021376,19.652212529858296
42604959,42604116,64.64346279358361
42604959,42604960,36.7872888431928
42600864,42599665,64.83523072329267
42600864,42601392,69.44841895978546
42604960,42604116,38.2292947380906
42596770,42595558,83.14595093021869
42596770,42597650,63.33648000885718
9981501860,29658357,65.99934841038231
42607013,42607704,29.437886216939614
42586534,42585235,66.02549143004484
42586534,42588627,72.17459064411418
42578351,42578673,37.6779774663419
42592692,42592198,63.57953045326386
42592692,42592778,15.458649067146226
42574267,42575154,49.65311928677985
42574267,42575219,69.73884873633527
42586558,42587233,89.09903103359775
1092747711,42578377,57.12243760493264
1092747711,844465978,11.753499223947989
1092747711,1092747740,17.20777960948596
42578377,42577336,119.35242234720712
42578377,42579837,63.52122373941671
42578378,42578672,55.56731611774698
42582478,42581703,51.76274123303322
42582478,42582693,59.06936864612968
42588628,42588670,76.09801991141268
42588628,5229043604,60.56597525315748
42598868,42599179,42.92921529011885
42594775,42593610,58.51369649200145
42594775,42595033,28.652301094275938
42562008,42560612,74.29370473596695
42562008,59935914,17.766716946692206
42562008,42562993,58.5031544320768
